CR_Id;"""Понравилось ли вам мероприятие в целом? Оцените по 10-и бальной шкале, где 0 - "не понравилось вовсе", а 10 - "запомню надолго".""";Need_More;Review
1807903445;10;1;"none_additional"
1767865560;10;1;"none_additional"
1444244486;10;1;"none_additional"
1308685093;6;1;"Преподов большую часть времени было не слышно, и местами сюжет затянут"
772078878;10;1;"none_additional"
2081569635;4;1;"none_additional"
547898736;9;1;"Мероприятие прекрасное, каждый год его жду! 
Но был момент, что было плохо слышно, что говорят преподы(( 
А так все супер"
898834120;10;1;"Глебка чепуш"
1469165407;10;1;"none_additional"
676477879;4;0;"none_additional"
24683618;9;1;"none_additional"
1141857249;9;1;"none_additional"
1646419720;9;1;"нужно больше Стефана"
1926065369;8;1;"none_additional"
1492157461;6;1;"none_additional"
1927072528;10;1;"none_additional"
1596190839;1;1;"Самый скучный препконцерт из тех, которые я видел, 1 смешная шутка, хотелось спать"
142932565;10;1;"none_additional"
